tripId,routeId,startDate,time,day,date,decision
119950_1..N02R,1,20161222,1209,weekday,day,1
120050_1..S02R,1,20161222,1209,weekday,day,0
120350_1..N02R,1,20161222,1209,weekday,day,1
120550_1..S02R,1,20161222,1209,weekday,day,0
120750_1..N02R,1,20161222,1209,weekday,day,0
121050_1..S02R,1,20161222,1209,weekday,day,1
121200_1..N02R,1,20161222,1209,weekday,day,1
121550_1..S02R,1,20161222,1209,weekday,day,0
121650_1..N02R,1,20161222,1209,weekday,day,1
122050_1..S02R,1,20161222,1209,weekday,day,0
122100_1..N02R,1,20161222,1209,weekday,day,1
122550_1..S02R,1,20161222,1209,weekday,day,1
122550_1..N02R,1,20161222,1209,weekday,day,1
123000_1..N02R,1,20161222,1209,weekday,day,1
123050_1..S02R,1,20161222,1209,weekday,day,1
123450_1..N02R,1,20161222,1209,weekday,day,1
123550_1..S02R,1,20161222,1209,weekday,day,0
111850_1..N02R,1,20161222,1210,weekday,night,0
113200_1..N02R,1,20161222,1210,weekday,night,1
115000_1..S02R,1,20161222,1210,weekday,night,1
115450_1..S02R,1,20161222,1210,weekday,night,1
115450_1..N02R,1,20161222,1210,weekday,night,1
115900_1..S02R,1,20161222,1210,weekday,night,0
115900_1..N02R,1,20161222,1210,weekday,night,1
116350_1..S02R,1,20161222,1210,weekday,night,0
116350_1..N02R,1,20161222,1210,weekday,night,0
116700_1..S02R,1,20161222,1210,weekday,night,1
116800_1..N02R,1,20161222,1210,weekday,night,1
117250_1..S02R,1,20161222,1210,weekday,night,1
117250_1..N02R,1,20161222,1210,weekday,night,1
117700_1..S02R,1,20161222,1210,weekday,night,1
117700_1..N02R,1,20161222,1210,weekday,night,1
118150_1..S02R,1,20161222,1210,weekday,night,1
118150_1..N02R,1,20161222,1210,weekday,night,0
118600_1..S02R,1,20161222,1210,weekday,night,1
118600_1..N02R,1,20161222,1210,weekday,night,1
119050_1..S02R,1,20161222,1210,weekday,night,1
119050_1..N02R,1,20161222,1210,weekday,night,0
119500_1..N02R,1,20161222,1210,weekday,night,1
119550_1..S02R,1,20161222,1210,weekday,night,1
119950_1..N02R,1,20161222,1210,weekday,night,1
120050_1..S02R,1,20161222,1210,weekday,night,1
120350_1..N02R,1,20161222,1210,weekday,night,0
120550_1..S02R,1,20161222,1210,weekday,night,1
120750_1..N02R,1,20161222,1210,weekday,night,0
121050_1..S02R,1,20161222,1210,weekday,night,1
121200_1..N02R,1,20161222,1210,weekday,night,0
121550_1..S02R,1,20161222,1210,weekday,night,0
121650_1..N02R,1,20161222,1210,weekday,night,1
122050_1..S02R,1,20161222,1210,weekday,night,1
122100_1..N02R,1,20161222,1210,weekday,night,1
122550_1..S02R,1,20161222,1210,weekday,night,0
122550_1..N02R,1,20161222,1210,weekday,night,1
123000_1..N02R,1,20161222,1210,weekday,night,1
123050_1..S02R,1,20161222,1210,weekday,night,1
123450_1..N02R,1,20161222,1210,weekday,night,0
123550_1..S02R,1,20161222,1210,weekday,night,1
123900_1..N02R,1,20161222,1210,weekday,night,0
124050_1..S02R,1,20161222,1210,weekday,night,0
124350_1..N02R,1,20161222,1210,weekday,night,1
111850_1..N02R,1,20161222,1211,weekday,night,0
113200_1..N02R,1,20161222,1211,weekday,night,0
115000_1..S02R,1,20161222,1211,weekday,night,1
115450_1..S02R,1,20161222,1211,weekday,night,0
115450_1..N02R,1,20161222,1211,weekday,night,1
115900_1..S02R,1,20161222,1211,weekday,night,1
115900_1..N02R,1,20161222,1211,weekday,night,1
116350_1..S02R,1,20161222,1211,weekday,night,1
116350_1..N02R,1,20161222,1211,weekday,night,1
116700_1..S02R,1,20161222,1211,weekday,night,0
116800_1..N02R,1,20161222,1211,weekday,night,1
117250_1..S02R,1,20161222,1211,weekday,night,1
117250_1..N02R,1,20161222,1211,weekday,night,0
117700_1..S02R,1,20161222,1211,weekday,night,1
117700_1..N02R,1,20161222,1211,weekday,night,1
118150_1..S02R,1,20161222,1211,weekday,night,1
118150_1..N02R,1,20161222,1211,weekday,night,1
118600_1..S02R,1,20161222,1211,weekday,night,0
118600_1..N02R,1,20161222,1211,weekday,night,0
119050_1..S02R,1,20161222,1211,weekday,night,1
119050_1..N02R,1,20161222,1211,weekday,night,1
119500_1..N02R,1,20161222,1211,weekday,night,1
119550_1..S02R,1,20161222,1211,weekday,night,0
119950_1..N02R,1,20161222,1211,weekday,night,1
120050_1..S02R,1,20161222,1211,weekday,night,1
120350_1..N02R,1,20161222,1211,weekday,night,0
120550_1..S02R,1,20161222,1211,weekday,night,0
120750_1..N02R,1,20161222,1211,weekday,night,1
121050_1..S02R,1,20161222,1211,weekday,night,1
121200_1..N02R,1,20161222,1211,weekday,night,1
121550_1..S02R,1,20161222,1211,weekday,night,1
121650_1..N02R,1,20161222,1211,weekday,night,1
122050_1..S02R,1,20161222,1211,weekday,night,0
122100_1..N02R,1,20161222,1211,weekday,night,0
122550_1..S02R,1,20161222,1211,weekday,night,0
122550_1..N02R,1,20161222,1211,weekday,night,1
123000_1..N02R,1,20161222,1211,weekday,night,0
123050_1..S02R,1,20161222,1211,weekday,night,1
123450_1..N02R,1,20161222,1211,weekday,night,0
123550_1..S02R,1,20161222,1211,weekday,night,1
123900_1..N02R,1,20161222,1211,weekday,night,1
124050_1..S02R,1,20161222,1211,weekday,night,1
124350_1..N02R,1,20161222,1211,weekday,night,0
111850_1..N02R,1,20161222,1212,weekday,night,1
113200_1..N02R,1,20161222,1212,weekday,night,1
115450_1..S02R,1,20161222,1212,weekday,night,1
115450_1..N02R,1,20161222,1212,weekday,night,1
115900_1..S02R,1,20161222,1212,weekday,night,1
115900_1..N02R,1,20161222,1212,weekday,night,1
116350_1..S02R,1,20161222,1212,weekday,night,1
116350_1..N02R,1,20161222,1212,weekday,night,0
116700_1..S02R,1,20161222,1212,weekday,night,1
116800_1..N02R,1,20161222,1212,weekday,night,1
117250_1..S02R,1,20161222,1212,weekday,night,1
117250_1..N02R,1,20161222,1212,weekday,night,1
117700_1..S02R,1,20161222,1212,weekday,night,1
117700_1..N02R,1,20161222,1212,weekday,night,1
118150_1..S02R,1,20161222,1212,weekday,night,1
118150_1..N02R,1,20161222,1212,weekday,night,1
118600_1..S02R,1,20161222,1212,weekday,night,1
118600_1..N02R,1,20161222,1212,weekday,night,1
119050_1..S02R,1,20161222,1212,weekday,night,1
119050_1..N02R,1,20161222,1212,weekday,night,1
119500_1..N02R,1,20161222,1212,weekday,night,0
119550_1..S02R,1,20161222,1212,weekday,night,1
119950_1..N02R,1,20161222,1212,weekday,night,1
120050_1..S02R,1,20161222,1212,weekday,night,1
120350_1..N02R,1,20161222,1212,weekday,night,1
120550_1..S02R,1,20161222,1212,weekday,night,1
120750_1..N02R,1,20161222,1212,weekday,night,1
121050_1..S02R,1,20161222,1212,weekday,night,1
121200_1..N02R,1,20161222,1212,weekday,night,1
121550_1..S02R,1,20161222,1212,weekday,night,0
121650_1..N02R,1,20161222,1212,weekday,night,0
122050_1..S02R,1,20161222,1212,weekday,night,1
122100_1..N02R,1,20161222,1212,weekday,night,0
122550_1..S02R,1,20161222,1212,weekday,night,0
122550_1..N02R,1,20161222,1212,weekday,night,1
123000_1..N02R,1,20161222,1212,weekday,night,0
111850_1..N02R,1,20161217,1213,weekend,night,1
113200_1..N02R,1,20161217,1213,weekend,night,1
115450_1..S02R,1,20161217,1213,weekend,night,1
115450_1..N02R,1,20161217,1213,weekend,night,0
115900_1..S02R,1,20161217,1213,weekend,night,1
115900_1..N02R,1,20161217,1213,weekend,night,0
116350_1..S02R,1,20161217,1213,weekend,night,1
116350_1..N02R,1,20161217,1213,weekend,night,1
116700_1..S02R,1,20161217,1213,weekend,night,1
116800_1..N02R,1,20161217,1213,weekend,night,1
117250_1..S02R,1,20161217,1213,weekend,night,1
117250_1..N02R,1,20161217,1213,weekend,night,1
117700_1..S02R,1,20161217,1213,weekend,night,1
117700_1..N02R,1,20161217,1213,weekend,night,1
118150_1..S02R,1,20161217,1213,weekend,night,0
118150_1..N02R,1,20161217,1213,weekend,night,1
118600_1..S02R,1,20161217,1213,weekend,night,0
118600_1..N02R,1,20161217,1213,weekend,night,1
119050_1..S02R,1,20161217,1213,weekend,night,1
119050_1..N02R,1,20161217,1213,weekend,night,1
119500_1..N02R,1,20161217,1213,weekend,night,0
119550_1..S02R,1,20161217,1213,weekend,night,0
119950_1..N02R,1,20161217,1213,weekend,night,0
120050_1..S02R,1,20161217,1213,weekend,night,0
120350_1..N02R,1,20161217,1213,weekend,night,1
120550_1..S02R,1,20161217,1213,weekend,night,1
120750_1..N02R,1,20161217,1213,weekend,night,1
121050_1..S02R,1,20161217,1213,weekend,night,1
121200_1..N02R,1,20161217,1213,weekend,night,1
121550_1..S02R,1,20161217,1213,weekend,night,1
121650_1..N02R,1,20161217,1213,weekend,night,1
122050_1..S02R,1,20161217,1213,weekend,night,1
122100_1..N02R,1,20161217,1213,weekend,night,0
122550_1..S02R,1,20161217,1213,weekend,night,0
122550_1..N02R,1,20161217,1213,weekend,night,1
123000_1..N02R,1,20161217,1213,weekend,night,0
123050_1..S02R,1,20161217,1213,weekend,night,1
123450_1..N02R,1,20161217,1213,weekend,night,1
123550_1..S02R,1,20161217,1213,weekend,night,1
123900_1..N02R,1,20161217,1213,weekend,night,0
124050_1..S02R,1,20161217,1213,weekend,night,1
124350_1..N02R,1,20161217,1213,weekend,night,1
111850_1..N02R,1,20161217,1214,weekend,night,1
113200_1..N02R,1,20161217,1214,weekend,night,1
115450_1..S02R,1,20161217,1214,weekend,night,1
115450_1..N02R,1,20161217,1214,weekend,night,1
115900_1..S02R,1,20161217,1214,weekend,night,1
115900_1..N02R,1,20161217,1214,weekend,night,0
116350_1..S02R,1,20161217,1214,weekend,night,1
116350_1..N02R,1,20161217,1214,weekend,night,1
116700_1..S02R,1,20161217,1214,weekend,night,1
116800_1..N02R,1,20161217,1214,weekend,night,0
117250_1..S02R,1,20161217,1214,weekend,night,1
117250_1..N02R,1,20161217,1214,weekend,night,1
117700_1..S02R,1,20161217,1214,weekend,night,1
117700_1..N02R,1,20161217,1214,weekend,night,1
118150_1..S02R,1,20161217,1214,weekend,night,1
118150_1..N02R,1,20161217,1214,weekend,night,1
118600_1..S02R,1,20161217,1214,weekend,night,1
118600_1..N02R,1,20161217,1214,weekend,night,0
119050_1..S02R,1,20161217,1214,weekend,night,0
119050_1..N02R,1,20161217,1214,weekend,night,1
119500_1..N02R,1,20161217,1214,weekend,night,0
119550_1..S02R,1,20161217,1214,weekend,night,1
119950_1..N02R,1,20161217,1214,weekend,night,1
120050_1..S02R,1,20161217,1214,weekend,night,1
120350_1..N02R,1,20161217,1214,weekend,night,1
120550_1..S02R,1,20161217,1214,weekend,night,0
120750_1..N02R,1,20161217,1214,weekend,night,1
121050_1..S02R,1,20161217,1214,weekend,night,0
121200_1..N02R,1,20161217,1214,weekend,night,1
121550_1..S02R,1,20161217,1214,weekend,night,1
121650_1..N02R,1,20161217,1214,weekend,night,1
122050_1..S02R,1,20161217,1214,weekend,night,1
122100_1..N02R,1,20161217,1214,weekend,night,1
122550_1..S02R,1,20161217,1214,weekend,night,1
122550_1..N02R,1,20161217,1214,weekend,night,1
123000_1..N02R,1,20161217,1214,weekend,night,1
123050_1..S02R,1,20161217,1214,weekend,night,1
123450_1..N02R,1,20161217,1214,weekend,night,1
123550_1..S02R,1,20161217,1214,weekend,night,1
123900_1..N02R,1,20161217,1214,weekend,night,1
124050_1..S02R,1,20161217,1214,weekend,night,1
124350_1..N02R,1,20161217,1214,weekend,night,1
111850_1..N02R,1,20161217,1215,weekend,night,1
113200_1..N02R,1,20161217,1215,weekend,night,1
115450_1..S02R,1,20161217,1215,weekend,night,1
115900_1..S02R,1,20161217,1215,weekend,night,0
115900_1..N02R,1,20161217,1215,weekend,night,0
116350_1..S02R,1,20161217,1215,weekend,night,1
116350_1..N02R,1,20161217,1215,weekend,night,1
116700_1..S02R,1,20161217,1215,weekend,night,0
116800_1..N02R,1,20161217,1215,weekend,night,1
117250_1..S02R,1,20161217,1215,weekend,night,1
117250_1..N02R,1,20161217,1215,weekend,night,0
117700_1..S02R,1,20161217,1215,weekend,night,0
117700_1..N02R,1,20161217,1215,weekend,night,0
118150_1..S02R,1,20161217,1215,weekend,night,0
118150_1..N02R,1,20161217,1215,weekend,night,1
118600_1..S02R,1,20161217,1215,weekend,night,0
118600_1..N02R,1,20161217,1215,weekend,night,1
119050_1..S02R,1,20161217,1215,weekend,night,1
119050_1..N02R,1,20161217,1215,weekend,night,1
119500_1..N02R,1,20161217,1215,weekend,night,0
119550_1..S02R,1,20161217,1215,weekend,night,1
119950_1..N02R,1,20161217,1215,weekend,night,0
120050_1..S02R,1,20161217,1215,weekend,night,1
120350_1..N02R,1,20161217,1215,weekend,night,1
120550_1..S02R,1,20161217,1215,weekend,night,1
120750_1..N02R,1,20161217,1215,weekend,night,1
121050_1..S02R,1,20161217,1215,weekend,night,1
121200_1..N02R,1,20161217,1215,weekend,night,0
121550_1..S02R,1,20161217,1215,weekend,night,1
121650_1..N02R,1,20161217,1215,weekend,night,1
122050_1..S02R,1,20161217,1215,weekend,night,1
122100_1..N02R,1,20161217,1215,weekend,night,1
122550_1..S02R,1,20161217,1215,weekend,night,1
122550_1..N02R,1,20161217,1215,weekend,night,1
123000_1..N02R,1,20161217,1215,weekend,night,0
123050_1..S02R,1,20161217,1215,weekend,night,0
123450_1..N02R,1,20161217,1215,weekend,night,1
123550_1..S02R,1,20161217,1215,weekend,night,1
123900_1..N02R,1,20161217,1215,weekend,night,1
124050_1..S02R,1,20161217,1215,weekend,night,1
124350_1..N02R,1,20161217,1215,weekend,night,0
124550_1..S02R,1,20161217,1215,weekend,night,0
124800_1..N02R,1,20161217,1215,weekend,night,0
111850_1..N02R,1,20161217,1216,weekend,day,1
113200_1..N02R,1,20161217,1216,weekend,day,1
115900_1..S02R,1,20161217,1216,weekend,day,1
115900_1..N02R,1,20161217,1216,weekend,day,0
116350_1..S02R,1,20161217,1216,weekend,day,0
116350_1..N02R,1,20161217,1216,weekend,day,1
116700_1..S02R,1,20161217,1216,weekend,day,1
116800_1..N02R,1,20161217,1216,weekend,day,1
117250_1..S02R,1,20161217,1216,weekend,day,1
117250_1..N02R,1,20161217,1216,weekend,day,1
117700_1..S02R,1,20161217,1216,weekend,day,1
117700_1..N02R,1,20161217,1216,weekend,day,1
118150_1..S02R,1,20161217,1216,weekend,day,1
118150_1..N02R,1,20161217,1216,weekend,day,1
118600_1..S02R,1,20161217,1216,weekend,day,1
118600_1..N02R,1,20161217,1216,weekend,day,1
119050_1..S02R,1,20161217,1216,weekend,day,1
119050_1..N02R,1,20161217,1216,weekend,day,1
119500_1..N02R,1,20161217,1216,weekend,day,0
119550_1..S02R,1,20161217,1216,weekend,day,1
119950_1..N02R,1,20161217,1216,weekend,day,0
120050_1..S02R,1,20161217,1216,weekend,day,0
120350_1..N02R,1,20161217,1216,weekend,day,1
120550_1..S02R,1,20161217,1216,weekend,day,0
120750_1..N02R,1,20161217,1216,weekend,day,1
121050_1..S02R,1,20161217,1216,weekend,day,1
121200_1..N02R,1,20161217,1216,weekend,day,0
121550_1..S02R,1,20161217,1216,weekend,day,1
121650_1..N02R,1,20161217,1216,weekend,day,1
122050_1..S02R,1,20161217,1216,weekend,day,1
122100_1..N02R,1,20161217,1216,weekend,day,1
122550_1..S02R,1,20161217,1216,weekend,day,0
122550_1..N02R,1,20161217,1216,weekend,day,0
123000_1..N02R,1,20161217,1216,weekend,day,1
123050_1..S02R,1,20161217,1216,weekend,day,0
123450_1..N02R,1,20161217,1216,weekend,day,1
123550_1..S02R,1,20161217,1216,weekend,day,1
123900_1..N02R,1,20161217,1216,weekend,day,1
124050_1..S02R,1,20161217,1216,weekend,day,0
124350_1..N02R,1,20161217,1216,weekend,day,1
124550_1..S02R,1,20161217,1216,weekend,day,0
124800_1..N02R,1,20161217,1216,weekend,day,1
111850_1..N02R,1,20161217,1217,weekend,day,1
113200_1..N02R,1,20161217,1217,weekend,day,0
115900_1..S02R,1,20161217,1217,weekend,day,1
115900_1..N02R,1,20161217,1217,weekend,day,1
116350_1..S02R,1,20161217,1217,weekend,day,0
116350_1..N02R,1,20161217,1217,weekend,day,0
116700_1..S02R,1,20161217,1217,weekend,day,0
116800_1..N02R,1,20161217,1217,weekend,day,1
117250_1..S02R,1,20161217,1217,weekend,day,1
117250_1..N02R,1,20161217,1217,weekend,day,1
117700_1..S02R,1,20161217,1217,weekend,day,1
117700_1..N02R,1,20161217,1217,weekend,day,0
118150_1..S02R,1,20161217,1217,weekend,day,0
118150_1..N02R,1,20161217,1217,weekend,day,1
118600_1..S02R,1,20161217,1217,weekend,day,0
118600_1..N02R,1,20161217,1217,weekend,day,1
119050_1..S02R,1,20161217,1217,weekend,day,1
119050_1..N02R,1,20161217,1217,weekend,day,1
119500_1..N02R,1,20161217,1217,weekend,day,0
119550_1..S02R,1,20161217,1217,weekend,day,1
119950_1..N02R,1,20161217,1217,weekend,day,1
120050_1..S02R,1,20161217,1217,weekend,day,1
120350_1..N02R,1,20161217,1217,weekend,day,1
120550_1..S02R,1,20161217,1217,weekend,day,1
120750_1..N02R,1,20161217,1217,weekend,day,1
121050_1..S02R,1,20161217,1217,weekend,day,1
121200_1..N02R,1,20161217,1217,weekend,day,0
121550_1..S02R,1,20161217,1217,weekend,day,1
121650_1..N02R,1,20161217,1217,weekend,day,1
122050_1..S02R,1,20161217,1217,weekend,day,1
122100_1..N02R,1,20161217,1217,weekend,day,1
122550_1..S02R,1,20161217,1217,weekend,day,0
122550_1..N02R,1,20161217,1217,weekend,day,1
123000_1..N02R,1,20161217,1217,weekend,day,1
123050_1..S02R,1,20161217,1217,weekend,day,0
123450_1..N02R,1,20161217,1217,weekend,day,1
123550_1..S02R,1,20161217,1217,weekend,day,0
123900_1..N02R,1,20161217,1217,weekend,day,1
124050_1..S02R,1,20161217,1217,weekend,day,0
124350_1..N02R,1,20161217,1217,weekend,day,0
124550_1..S02R,1,20161217,1217,weekend,day,1
124800_1..N02R,1,20161217,1217,weekend,day,0
111850_1..N02R,1,20161217,1218,weekend,day,1
113200_1..N02R,1,20161217,1218,weekend,day,1
115900_1..S02R,1,20161217,1218,weekend,day,1
115900_1..N02R,1,20161217,1218,weekend,day,1
116350_1..S02R,1,20161217,1218,weekend,day,1
116350_1..N02R,1,20161217,1218,weekend,day,1
116700_1..S02R,1,20161217,1218,weekend,day,0
116800_1..N02R,1,20161217,1218,weekend,day,1
117250_1..S02R,1,20161217,1218,weekend,day,0
117250_1..N02R,1,20161217,1218,weekend,day,1
117700_1..S02R,1,20161217,1218,weekend,day,1
117700_1..N02R,1,20161217,1218,weekend,day,1
118150_1..S02R,1,20161217,1218,weekend,day,1
118150_1..N02R,1,20161217,1218,weekend,day,1
118600_1..S02R,1,20161217,1218,weekend,day,1
118600_1..N02R,1,20161217,1218,weekend,day,1
119050_1..S02R,1,20161217,1218,weekend,day,0
119050_1..N02R,1,20161217,1218,weekend,day,1
119500_1..N02R,1,20161217,1218,weekend,day,1
119550_1..S02R,1,20161217,1218,weekend,day,0
119950_1..N02R,1,20161217,1218,weekend,day,1
120050_1..S02R,1,20161217,1218,weekend,day,0
120350_1..N02R,1,20161217,1218,weekend,day,0
120550_1..S02R,1,20161217,1218,weekend,day,1
120750_1..N02R,1,20161217,1218,weekend,day,1
121050_1..S02R,1,20161217,1218,weekend,day,0
121200_1..N02R,1,20161217,1218,weekend,day,1
121550_1..S02R,1,20161217,1218,weekend,day,1
121650_1..N02R,1,20161217,1218,weekend,day,1
122050_1..S02R,1,20161217,1218,weekend,day,0
122100_1..N02R,1,20161217,1218,weekend,day,1
122550_1..S02R,1,20161217,1218,weekend,day,0
122550_1..N02R,1,20161217,1218,weekend,day,0
123000_1..N02R,1,20161217,1218,weekend,day,1
123050_1..S02R,1,20161217,1218,weekend,day,1
123450_1..N02R,1,20161217,1218,weekend,day,1
123550_1..S02R,1,20161217,1218,weekend,day,0
123900_1..N02R,1,20161217,1218,weekend,day,0
124050_1..S02R,1,20161217,1218,weekend,day,0
124350_1..N02R,1,20161217,1218,weekend,day,1
124550_1..S02R,1,20161217,1218,weekend,day,1
124800_1..N02R,1,20161217,1218,weekend,day,0
111850_1..N02R,1,20161217,1219,weekend,day,1
113200_1..N02R,1,20161217,1219,weekend,day,1
115900_1..S02R,1,20161217,1219,weekend,day,1
115900_1..N02R,1,20161217,1219,weekend,day,1
116350_1..S02R,1,20161217,1219,weekend,day,1
116350_1..N02R,1,20161217,1219,weekend,day,1
116700_1..S02R,1,20161217,1219,weekend,day,0
116800_1..N02R,1,20161217,1219,weekend,day,0
117250_1..S02R,1,20161217,1219,weekend,day,1
117250_1..N02R,1,20161217,1219,weekend,day,0
117700_1..S02R,1,20161217,1219,weekend,day,1
117700_1..N02R,1,20161217,1219,weekend,day,1
118150_1..S02R,1,20161217,1219,weekend,day,1
118150_1..N02R,1,20161217,1219,weekend,day,0
118600_1..S02R,1,20161217,1219,weekend,day,1
118600_1..N02R,1,20161217,1219,weekend,day,1
119050_1..S02R,1,20161217,1219,weekend,day,0
119050_1..N02R,1,20161217,1219,weekend,day,0
119500_1..N02R,1,20161217,1219,weekend,day,1
119550_1..S02R,1,20161217,1219,weekend,day,0
119950_1..N02R,1,20161217,1219,weekend,day,1
120050_1..S02R,1,20161217,1219,weekend,day,1
120350_1..N02R,1,20161217,1219,weekend,day,1
120550_1..S02R,1,20161217,1219,weekend,day,1
120750_1..N02R,1,20161217,1219,weekend,day,1
121050_1..S02R,1,20161217,1219,weekend,day,1
121200_1..N02R,1,20161217,1219,weekend,day,0
121550_1..S02R,1,20161217,1219,weekend,day,1
121650_1..N02R,1,20161217,1219,weekend,day,0
122050_1..S02R,1,20161217,1219,weekend,day,1
122100_1..N02R,1,20161217,1219,weekend,day,1
122550_1..S02R,1,20161217,1219,weekend,day,1
122550_1..N02R,1,20161217,1219,weekend,day,1
123000_1..N02R,1,20161217,1219,weekend,day,1
123050_1..S02R,1,20161217,1219,weekend,day,0
123450_1..N02R,1,20161217,1219,weekend,day,1
123550_1..S02R,1,20161217,1219,weekend,day,1
123900_1..N02R,1,20161217,1219,weekend,day,1
